iter	MultiClass
0	1.928747088
1	1.912468817
2	1.896180092
3	1.880500401
4	1.865286802
5	1.85036807
6	1.836194714
7	1.822470672
8	1.808955976
9	1.79585988
10	1.783109935
11	1.771008301
12	1.758606892
13	1.74669989
14	1.735248001
15	1.724232884
16	1.713358307
17	1.702812384
18	1.692651828
19	1.682796961
20	1.672899
21	1.663193736
22	1.653911875
23	1.64482464
24	1.635951384
25	1.627200119
26	1.618609059
27	1.610394199
28	1.602351116
29	1.5943259
30	1.586523223
31	1.579114893
32	1.571628077
33	1.564383247
34	1.557287392
35	1.550305848
36	1.543360625
37	1.536745058
38	1.530252172
39	1.523823658
40	1.51748717
41	1.511224084
42	1.505195909
43	1.499214536
44	1.49337347
45	1.487633349
46	1.481891331
47	1.476375718
48	1.470964786
49	1.465637947
50	1.460565966
51	1.455340657
52	1.450302413
53	1.445305647
54	1.440444478
55	1.435735067
56	1.431109615
57	1.42656164
58	1.421961679
59	1.417523851
60	1.413083562
61	1.408705063
62	1.40446836
63	1.40033368
64	1.39617629
65	1.392069299
66	1.388118124
67	1.384165916
68	1.380358968
69	1.376548074
70	1.37286019
71	1.369205436
72	1.365575239
73	1.362063031
74	1.358645634
75	1.355254671
76	1.351957583
77	1.348637415
78	1.345400801
79	1.342139974
80	1.339065678
81	1.33590468
82	1.332868115
83	1.329857313
84	1.326941266
85	1.32401816
86	1.321105352
87	1.318299573
88	1.315537827
89	1.312811032
90	1.310087777
91	1.307446211
92	1.304812779
93	1.302206861
94	1.299686746
95	1.297191152
96	1.29470421
97	1.292297285
98	1.289924533
99	1.28755566
