iter	Passed	Remaining
0	1	169
1	3	151
2	4	147
3	5	128
4	6	128
5	8	130
6	9	126
7	10	124
8	12	122
9	13	119
10	14	116
11	15	115
12	16	113
13	17	109
14	19	109
15	20	108
16	22	107
17	23	105
18	24	103
19	25	102
20	26	99
21	27	98
22	29	97
23	30	95
24	31	93
25	32	92
26	34	92
27	35	90
28	35	88
29	37	86
30	38	85
31	40	85
32	41	84
33	43	83
34	44	83
35	46	82
36	47	80
37	48	79
38	50	78
39	51	77
40	53	76
41	54	75
42	55	73
43	57	72
44	58	72
45	60	70
46	61	69
47	63	68
48	64	67
49	66	66
50	67	64
51	69	63
52	70	62
53	72	61
54	73	60
55	74	58
56	75	57
57	76	55
58	78	54
59	80	53
60	81	52
61	82	50
62	84	49
63	85	47
64	86	46
65	87	45
66	88	43
67	89	42
68	91	41
69	92	39
70	96	39
71	97	38
72	99	36
73	100	35
74	101	33
75	102	32
76	104	31
77	105	29
78	107	28
79	109	27
80	110	25
81	111	24
82	112	23
83	113	21
84	114	20
85	115	18
86	117	17
87	118	16
88	119	14
89	120	13
90	122	12
91	123	10
92	124	9
93	126	8
94	127	6
95	128	5
96	129	4
97	131	2
98	132	1
99	134	0
