,match_id,season,start_date,venue,team,player,total_runs,total_wickets
0,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,MM Ali,11,0
1,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,RJW Topley,0,0
2,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,HC Brook,25,0
3,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,DJ Malan,14,0
4,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,MA Wood,13,0
5,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,AAP Atkinson,0,0
6,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,BA Stokes,0,0
7,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,JC Buttler,43,0
8,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,CR Woakes,11,0
9,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,JE Root,77,0
10,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,SM Curran,14,1
11,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,DJ Willey,0,0
12,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,JM Bairstow,33,0
13,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,AU Rashid,15,0
14,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,LS Livingstone,20,0
15,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,JDS Neesham,0,0
16,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,R Ravindra,123,1
17,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,MJ Santner,0,2
18,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,LH Ferguson,0,0
19,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,DP Conway,152,0
20,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,GD Phillips,0,2
21,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,DJ Mitchell,0,0
22,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,TG Southee,0,0
23,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,KS Williamson,0,0
24,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,TA Boult,0,1
25,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,WA Young,0,0
26,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,MS Chapman,0,0
27,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,MJ Henry,0,3
28,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,TWM Latham,0,0
46,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Fakhar Zaman,12,0
47,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Hasan Ali,0,2
48,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Haris Rauf,16,3
49,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Mohammad Rizwan,68,0
50,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Mohammad Nawaz,39,1
51,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Abdullah Shafique,0,0
52,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Usama Mir,0,0
53,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Mohammad Wasim,0,0
54,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Shadab Khan,32,1
55,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Iftikhar Ahmed,9,1
56,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Saud Shakeel,68,0
57,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Shaheen Shah Afridi,13,1
58,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Babar Azam,5,0
59,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Imam-ul-Haq,15,0
60,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,SA Engelbrecht,0,0
61,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,BFW de Leede,67,4
62,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Vikramjit Singh,52,0
63,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,PA van Meekeren,7,1
64,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,RE van der Merwe,4,0
65,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,MP O'Dowd,5,0
66,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,LV van Beek,28,1
67,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,W Barresi,0,0
68,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Shariz Ahmad,0,0
69,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,SA Edwards,0,0
70,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,CN Ackermann,17,2
71,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Saqib Zulfiqar,10,0
72,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,R Klein,0,0
73,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,A Dutt,1,1
74,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,AT Nidamanuru,5,0
96,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Noor Ahmad,0,0
97,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Rahmanullah Gurbaz,47,0
98,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Rashid Khan,9,0
99,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Naveen-ul-Haq,0,1
100,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Azmatullah Omarzai,22,1
101,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Mujeeb Ur Rahman,1,0
102,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Fazalhaq Farooqi,0,1
103,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Mohammad Nabi,6,0
104,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Rahmat Shah,18,0
105,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Ibrahim Zadran,22,0
106,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Ikram Alikhil,0,0
107,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Najibullah Zadran,5,0
108,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Hashmatullah Shahidi,18,0
109,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Shakib Al Hasan,14,3
110,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Nazmul Hossain Shanto,59,0
111,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Mushfiqur Rahim,2,0
112,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Mehedi Hasan Miraz,57,3
113,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Shoriful Islam,0,2
114,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Mustafizur Rahman,0,1
115,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Mahmudullah,0,0
116,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Liton Das,13,0
117,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Towhid Hridoy,0,0
118,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Nasum Ahmed,0,0
119,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Taskin Ahmed,0,1
120,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Hasan Mahmud,0,0
121,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Tanzid Hasan,5,0
122,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Mahedi Hasan,0,0
