,match_id,season,start_date,venue,team,opposing_team,player,total_runs,total_wickets
0,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,SM Curran,14,1
1,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,JE Root,77,0
2,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,RJW Topley,0,0
3,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,CR Woakes,11,0
4,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,HC Brook,25,0
5,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,AU Rashid,15,0
6,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,DJ Willey,0,0
7,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,MA Wood,13,0
8,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,BA Stokes,0,0
9,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,LS Livingstone,20,0
10,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,JC Buttler,43,0
11,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,MM Ali,11,0
12,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,AAP Atkinson,0,0
13,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,DJ Malan,14,0
14,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",England,New Zealand,JM Bairstow,33,0
15,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,MS Chapman,0,0
16,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,KS Williamson,0,0
17,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,JDS Neesham,0,0
18,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,TWM Latham,0,0
19,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,WA Young,0,0
20,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,DP Conway,152,0
21,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,LH Ferguson,0,0
22,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,TG Southee,0,0
23,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,MJ Santner,0,2
24,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,TA Boult,0,1
25,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,DJ Mitchell,0,0
26,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,R Ravindra,123,1
27,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,GD Phillips,0,2
28,1,2023/24,2023-10-05,"Narendra Modi Stadium, Ahmedabad",New Zealand,England,MJ Henry,0,3
46,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Mohammad Wasim,0,0
47,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Saud Shakeel,68,0
48,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Babar Azam,5,0
49,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Iftikhar Ahmed,9,1
50,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Hasan Ali,0,2
51,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Imam-ul-Haq,15,0
52,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Usama Mir,0,0
53,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Mohammad Nawaz,39,1
54,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Shaheen Shah Afridi,13,1
55,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Mohammad Rizwan,68,0
56,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Fakhar Zaman,12,0
57,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Haris Rauf,16,3
58,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Abdullah Shafique,0,0
59,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Pakistan,Netherlands,Shadab Khan,32,1
60,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,AT Nidamanuru,5,0
61,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,RE van der Merwe,4,0
62,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,CN Ackermann,17,2
63,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,R Klein,0,0
64,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,A Dutt,1,1
65,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,LV van Beek,28,1
66,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,SA Engelbrecht,0,0
67,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,Saqib Zulfiqar,10,0
68,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,Shariz Ahmad,0,0
69,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,Vikramjit Singh,52,0
70,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,PA van Meekeren,7,1
71,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,W Barresi,0,0
72,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,SA Edwards,0,0
73,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,BFW de Leede,67,4
74,2,2023/24,2023-10-06,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Netherlands,Pakistan,MP O'Dowd,5,0
96,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Azmatullah Omarzai,22,1
97,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Naveen-ul-Haq,0,1
98,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Mujeeb Ur Rahman,1,0
99,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Ibrahim Zadran,22,0
100,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Najibullah Zadran,5,0
101,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Rahmanullah Gurbaz,47,0
102,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Mohammad Nabi,6,0
103,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Rahmat Shah,18,0
104,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Rashid Khan,9,0
105,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Ikram Alikhil,0,0
106,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Noor Ahmad,0,0
107,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Fazalhaq Farooqi,0,1
108,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Afghanistan,Bangladesh,Hashmatullah Shahidi,18,0
109,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Mahedi Hasan,0,0
110,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Shoriful Islam,0,2
111,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Tanzid Hasan,5,0
112,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Mushfiqur Rahim,2,0
113,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Taskin Ahmed,0,1
114,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Hasan Mahmud,0,0
115,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Mahmudullah,0,0
116,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Shakib Al Hasan,14,3
117,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Mustafizur Rahman,0,1
118,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Mehedi Hasan Miraz,57,3
119,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Liton Das,13,0
120,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Towhid Hridoy,0,0
121,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Nasum Ahmed,0,0
122,3,2023/24,2023-10-07,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Bangladesh,Afghanistan,Nazmul Hossain Shanto,59,0
143,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,Q de Kock,100,0
144,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,T Bavuma,8,0
145,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,HE van der Dussen,108,0
146,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,T Shamsi,0,0
147,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,LB Williams,0,0
148,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,G Coetzee,0,3
149,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,L Ngidi,0,1
150,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,KA Maharaj,0,2
151,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,RR Hendricks,0,0
152,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,K Rabada,0,2
153,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,AK Markram,106,0
154,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,M Jansen,12,2
155,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,H Klaasen,32,0
156,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",South Africa,Sri Lanka,DA Miller,39,0
157,4,2023/24,2023-10-07,"Arun Jaitley Stadium, Delhi",Sri Lanka,South Africa,MDKJ Perera,7,0
