,venue_x,innings,batting_team,bowling_team,total_runs_per_inning_match,Total_Overs_Played
0,"Narendra Modi Stadium, Ahmedabad",1,England,New Zealand,282,50.0
1,"Narendra Modi Stadium, Ahmedabad",2,New Zealand,England,283,36.333333333333336
2,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Pakistan,Netherlands,286,48.833333333333336
3,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Netherlands,Pakistan,205,41.0
4,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,Afghanistan,Bangladesh,156,37.333333333333336
5,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,Bangladesh,Afghanistan,158,34.666666666666664
6,"Arun Jaitley Stadium, Delhi",1,South Africa,Sri Lanka,428,50.0
7,"Arun Jaitley Stadium, Delhi",2,Sri Lanka,South Africa,326,44.833333333333336
8,"MA Chidambaram Stadium, Chepauk, Chennai",1,Australia,India,199,49.5
9,"MA Chidambaram Stadium, Chepauk, Chennai",2,India,Australia,201,41.333333333333336
10,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,New Zealand,Netherlands,322,50.0
11,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Netherlands,New Zealand,223,46.5
12,"Himachal Pradesh Cricket Association Stadium, Dharamsala",1,England,Bangladesh,364,50.0
13,"Himachal Pradesh Cricket Association Stadium, Dharamsala",2,Bangladesh,England,227,48.333333333333336
14,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",1,Sri Lanka,Pakistan,344,50.0
15,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",2,Pakistan,Sri Lanka,345,48.333333333333336
16,"Arun Jaitley Stadium, Delhi",1,Afghanistan,India,272,50.0
17,"Arun Jaitley Stadium, Delhi",2,India,Afghanistan,273,35.0
18,"MA Chidambaram Stadium, Chepauk, Chennai",1,Bangladesh,New Zealand,245,50.0
19,"MA Chidambaram Stadium, Chepauk, Chennai",2,New Zealand,Bangladesh,248,42.833333333333336
20,"Narendra Modi Stadium, Ahmedabad",1,Pakistan,India,191,42.833333333333336
21,"Narendra Modi Stadium, Ahmedabad",2,India,Pakistan,192,30.5
22,"Arun Jaitley Stadium, Delhi",1,Afghanistan,England,284,49.833333333333336
23,"Arun Jaitley Stadium, Delhi",2,England,Afghanistan,215,40.5
24,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",1,Sri Lanka,Australia,209,43.5
